Day	Event	Task	Points	Type	Slot
Friday	Tech Research	Tech Power	1	Arms Race	1
Friday	Tech Research	Research Speedup	10	Arms Race	1
Friday	Drone Boost	Use Drone Data Point	1	Arms Race	2
Friday	Drone Boost	Use Stamina	100	Arms Race	2
Friday	Unit Progression	Train T8 Unit	25	Arms Race	3
Friday	Unit Progression	Training Speedup	10	Arms Race	3
Friday	Hero Advancement	Hero Recruitment	400	Arms Race	4
Friday	Hero Advancement	Hero EXP	2	Arms Race	4
Friday	Base Building	Building Power	1	Arms Race	5
Friday	Base Building	Construction Speedup	10	Arms Race	5
Friday	Unit Progression	Train T8 Unit	25	Arms Race	6
Friday	Unit Progression	Training Speedup	10	Arms Race	6
Monday	Base Building	Building Power	1	Arms Race	1
Monday	Base Building	Construction Speedup	10	Arms Race	1
Monday	Unit Progression	Train T8 Unit	25	Arms Race	2
Monday	Unit Progression	Training Speedup	10	Arms Race	2
Monday	Hero Advancement	Hero Recruitment	400	Arms Race	3
Monday	Hero Advancement	Hero EXP	2	Arms Race	3
Monday	Tech Research	Tech Power	1	Arms Race	4
Monday	Tech Research	Research Speedup	10	Arms Race	4
Monday	Drone Boost	Use Drone Data Point	1	Arms Race	5
Monday	Drone Boost	Use Stamina	100	Arms Race	5
Monday	Hero Advancement	Hero Recruitment	400	Arms Race	6
Monday	Hero Advancement	Hero EXP	2	Arms Race	6
Saturday	Unit Progression	Train T8 Unit	25	Arms Race	1
Saturday	Unit Progression	Training Speedup	10	Arms Race	1
Saturday	Tech Research	Tech Power	1	Arms Race	2
Saturday	Tech Research	Research Speedup	10	Arms Race	2
Saturday	Base Building	Building Power	1	Arms Race	3
Saturday	Base Building	Construction Speedup	10	Arms Race	3
Saturday	Drone Boost	Use Drone Data Point	1	Arms Race	4
Saturday	Drone Boost	Use Stamina	100	Arms Race	4
Saturday	Hero Advancement	Hero Recruitment	400	Arms Race	5
Saturday	Hero Advancement	Hero EXP	2	Arms Race	5
Saturday	Base Building	Building Power	1	Arms Race	6
Saturday	Base Building	Construction Speedup	10	Arms Race	6
Sunday	Drone Boost	Use Drone Data Point	1	Arms Race	1
Sunday	Drone Boost	Use Stamina	100	Arms Race	1
Sunday	Hero Advancement	Hero Recruitment	400	Arms Race	2
Sunday	Hero Advancement	Hero EXP	2	Arms Race	2
Sunday	Tech Research	Tech Power	1	Arms Race	3
Sunday	Tech Research	Research Speedup	10	Arms Race	3
Sunday	Base Building	Building Power	1	Arms Race	4
Sunday	Base Building	Construction Speedup	10	Arms Race	4
Sunday	Unit Progression	Train T8 Unit	25	Arms Race	5
Sunday	Unit Progression	Training Speedup	10	Arms Race	5
Sunday	Tech Research	Tech Power	1	Arms Race	6
Sunday	Tech Research	Research Speedup	10	Arms Race	6
Thursday	Base Building	Building Power	1	Arms Race	1
Thursday	Base Building	Construction Speedup	10	Arms Race	1
Thursday	Unit Progression	Train T8 Unit	25	Arms Race	2
Thursday	Unit Progression	Training Speedup	10	Arms Race	2
Thursday	Hero Advancement	Hero Recruitment	400	Arms Race	3
Thursday	Hero Advancement	Hero EXP	2	Arms Race	3
Thursday	Tech Research	Tech Power	1	Arms Race	4
Thursday	Tech Research	Research Speedup	10	Arms Race	4
Thursday	Drone Boost	Use Drone Data Point	1	Arms Race	5
Thursday	Drone Boost	Use Stamina	100	Arms Race	5
Thursday	Hero Advancement	Hero Recruitment	400	Arms Race	6
Thursday	Hero Advancement	Hero EXP	2	Arms Race	6
Tuesday	Unit Progression	Train T8 Unit	25	Arms Race	1
Tuesday	Unit Progression	Training Speedup	10	Arms Race	1
Tuesday	Tech Research	Tech Power	1	Arms Race	2
Tuesday	Tech Research	Research Speedup	10	Arms Race	2
Tuesday	Base Building	Building Power	1	Arms Race	3
Tuesday	Base Building	Construction Speedup	10	Arms Race	3
Tuesday	Drone Boost	Use Drone Data Point	1	Arms Race	4
Tuesday	Drone Boost	Use Stamina	100	Arms Race	4
Tuesday	Hero Advancement	Hero Recruitment	400	Arms Race	5
Tuesday	Hero Advancement	Hero EXP	2	Arms Race	5
Tuesday	Base Building	Building Power	1	Arms Race	6
Tuesday	Base Building	Construction Speedup	10	Arms Race	6
Wednesday	Drone Boost	Use Drone Data Point	1	Arms Race	1
Wednesday	Drone Boost	Use Stamina	100	Arms Race	1
Wednesday	Hero Advancement	Hero Recruitment	400	Arms Race	2
Wednesday	Hero Advancement	Hero EXP	2	Arms Race	2
Wednesday	Tech Research	Tech Power	1	Arms Race	3
Wednesday	Tech Research	Research Speedup	10	Arms Race	3
Wednesday	Base Building	Building Power	1	Arms Race	4
Wednesday	Base Building	Construction Speedup	10	Arms Race	4
Wednesday	Unit Progression	Train T8 Unit	25	Arms Race	5
Wednesday	Unit Progression	Training Speedup	10	Arms Race	5
Wednesday	Tech Research	Tech Power	1	Arms Race	6
Wednesday	Tech Research	Research Speedup	10	Arms Race	6
